a-fortiori aforsïori
a-posteriori apostérïori
a-priori apriïori
abaissement ab%smâ
abaisser abésé
abandon abâdô
abandonner abâdoné
abaque abak
abasourdir abazurdir
abasourdissant abazurdisâ
abasourdissante abazurdisât
abat-jour abajur
abats aba
abattage abataj
abattement abatmâ
abattis abati
abattoir abat!ar
abattre abatr^
abattu abaty
abattue abaty
abbatial abasïal
abbatiale abasïal
abbatiaux abasïo
abbaye abéi
abbesse ab%s
abbé abé
abc abésé
abcès aps%
abdication abdikasïô
abdiquer abdiké
abdomen abdom%n
abdominal abdominal
abdominale abdominal
abdominaux abdomino
abeille ab%ï
aberrant ab%râ
aberrante ab%rât
aberration ab%rasïô
abhorrer aboré
abject abj%kt
abjecte abj%kt
abjection abj%ksïô
abjuration abjyrasïô
abjurer abjyré
ablatif ablatif
ablation ablasïô
ablutions ablysïô
abnégation abnégasïô
aboiement ab!amâ
abois ab!a
abolir abolir
abolition abolisïô
abolitionnisme abolisïonism^
abolitionniste abolisïonist^
abominable abominabl^
abominablement abominabl^mâ
abomination abominasïô
abondamment abôdamâ
abondance abôdâs
abondant abôdâ
abondante abôdât
abonder abôdé
abonnement abonmâ
abonner aboné
abonné aboné
abonnée aboné
abord abor
abordable abordabl^
abordage abordaj
aborder abordé
abords abor
aborigène aborij%n
aboucher abu/é
abouler abulé
aboulique abulik
aboutir abutir
aboutissants abutisâ
aboutissement abutismâ
aboyer ab!aïé
abracadabrant abrakadabrâ
abracadabrante abrakadabrât
abrasif abrazif
abreuver abrevé
abreuvoir abrev!ar
abri abri
abricot abriko
abricotier abrikotjé
abriter abrité
abrité abrité
abritée abrité
abrogation abrogasïô
abroger abrojé
abruti abryti
abrutie abryti
abrutir abrytir
abrutissant abrytisâ
abrutissante abrytisât
abrutissement abrytismâ
abrégement abr%jmâ
abréger abréjé
abrégé abréjé
abréviatif abrévïatif
abréviation abrévïasïô
abréviative abrévïativ
abscisse apsis
abscons apskô
absconse apskôs
absence apsâs
absent apsâ
absente apsât
absenter apsâté
absentionnisme apsâsïonism^
absentionniste apsâsïonist^
absentéisme apsâtéism^
absentéiste apsâtéist^
abside apsid
absinthe apsêt
absolu apsoly
absolue apsoly
absolument apsolymâ
absolution apsolysïô
absolutisme apsolytism^
absolutiste apsolytist^
absorbant apsorbâ
absorbante apsorbât
absorber apsorbé
absorption apsorpsïô
absoudre apsudr^
abstenir apst^nir
abstention apstâsïô
abstentionnisme apstâsïonism^
abstentionniste apstâsïonist^
abstinence apstinâs
abstraction apstraksïô
abstraire apstr%r
abstrait apstr%
abstraite apstr%t
abstraitement apstr%tmâ
absurde apsyrd^
absurdité apsyrdité
abus aby
abuser abyzé
abusif abuzif
abusive abuziv
abusivement abyzivmâ
abâtardir abatardir
abêtir abétir
abêtissant abétisâ
abêtissante abétisât
abêtissement abétismâ
abîme abim
abîmer abimé
acabit akabi
acacia akasïa
académicien akadémisïê
académicienne akadémisï%n
académie akadémi
académique akadémik
académisme akadémism^
acajou akaju
acanthe akât
acariâtre akarïatr^
accablant akablâ
accablante akablât
accablement akabl^mâ
accabler akablé
accalmie akalmi
accaparement akaparmâ
accaparer akaparé
accapareur akaparer
accapareuse akaparEz
accent aksâ
accentuation aksât%asïô
accentuer aksât%é
acceptable aks%ptabl^
acceptation aks%ptasïô
accepter aks%pté
acception aks%psïô
accessibilité aks%sibilité
accessible aks%sibl^
accession aks%sïô
accessit aksésit
accessoire aksés!ar
