a a
ab ab
abl bl^
able abl
ac ak
ad ad
af af
aim %m
ak ak
ata ata
ax aks^
b b
ba ba
bi bi
bim bim
bo bo
bou bu
bu by
c k
ca ka
cheu /E
cho /o
d d
di di
eb %b
eige %j
el %l
er é
esse %s
ette %t
eur er
f f
g g
ga ga
gé jé
hoo 'u
i i
iak ïak
ian ïâ
icyan ïsïâ
ije ij^
im im
ing i£
ion ïô
ir ir
it it
j j
k k
king ki£
l l
lar lar
lo lo
m m
mo mo
n n
noi n!a
o o
oel o%l
oir !ar
olai ol%
on ô
ou u
oua !a
ouit uit
our ur
ouz uz
ra ra
ri ri
s s
sab sab
sion sïô
sour sur
tro tro
udi ydi
z z
èm %m
èt %t
ê %
ex %ks
dex d%ks
tère t%r
lu ly
cha /a
mak mak
mac mak
aie %
oz oz
jen j%n
